metric,model_a,model_b,paired_t_p,wilcoxon_p,n_outer_folds
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('MedAE', 'LinearRegression')",3.354790802974256e-11,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('MedAE', 'LinearRegression')",1.8449727276566664e-10,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('MedAE', 'LinearRegression')",1.8483457794567516e-10,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('MedAE', 'LinearRegression')",1.8496690902182645e-10,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('MedAE', 'LinearRegression')",1.8509916624285483e-10,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('MedAE', 'LinearRegression')",1.8526596685084044e-10,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('MedAE', 'DecisionTree')",7.690381939956676e-09,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('MedAE', 'DecisionTree')",7.693085876128961e-09,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('MedAE', 'DecisionTree')",7.695318161773493e-09,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('MedAE', 'DecisionTree')",7.69683131505122e-09,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('MedAE', 'DecisionTree')",7.70171327663626e-09,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('MAE', 'DecisionTree')",1.7390264803164638e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('MAE', 'DecisionTree')",1.7392963729394362e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('MAE', 'DecisionTree')",1.7395872405561898e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('MAE', 'DecisionTree')",1.7396330367717267e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('MAE', 'DecisionTree')",1.7404906231253953e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('MedAE', 'DecisionTree')",1.9738769903620682e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('MAE', 'DecisionTree')",2.2064866963136087e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('MedAE', 'RandomForest+PseudoHuber')",2.553797794895413e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('MAE', 'RandomForest+PseudoHuber')",2.591220522881326e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'DecisionTree')","('MedAE', 'LinearRegression')",4.527154937934749e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('MedAE', 'SVR')",5.086740292379391e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('MedAE', 'SVR')",5.087114287649727e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('MedAE', 'SVR')",5.088146009503803e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('MedAE', 'SVR')",5.0885107752647933e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('MedAE', 'SVR')",5.089295961611531e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'RandomForest+PseudoHuber')","('MedAE', 'RandomForest+PseudoHuber')",6.326786022729842e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('MAE', 'RandomForest+PseudoHuber')",6.478770906607296e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('MAE', 'RandomForest+PseudoHuber')",6.484056361888263e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('MAE', 'RandomForest+PseudoHuber')",6.484987374627372e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('MAE', 'RandomForest+PseudoHuber')",6.48609945828396e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('MAE', 'RandomForest+PseudoHuber')",6.486906843909964e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('MAE', 'SVR')",6.648415662997498e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('MAE', 'SVR')",6.649593870585651e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('MAE', 'SVR')",6.649718492282323e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('MAE', 'SVR')",6.649801238663656e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('MAE', 'SVR')",6.652112415890837e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('MAE', 'SVR')",6.681115011653374e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('MedAE', 'SVR')",7.233291871424976e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'DecisionTree')","('MedAE', 'DecisionTree')",9.097783326178633e-08,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'LinearRegression')","('MedAE', 'RandomForest+PseudoHuber')",1.1706633360436988e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('MedAE', 'RandomForest+PseudoHuber')",1.1980531633523538e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('MedAE', 'RandomForest+PseudoHuber')",1.199241714662333e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('MedAE', 'RandomForest+PseudoHuber')",1.1995772958431484e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('MedAE', 'RandomForest+PseudoHuber')",1.1996222415372705e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('MedAE', 'RandomForest+PseudoHuber')",1.200062262449357e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('MAE', 'XGBoost+Huber')",1.515548608383578e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('MAE', 'XGBoost+Huber')",1.5159760023437564e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('MAE', 'XGBoost+Huber')",1.5160450452180137e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('MAE', 'XGBoost+Huber')",1.5160971178079924e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('MAE', 'XGBoost+Huber')",1.516498299553643e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'NeuralNetwork')","('MedAE', 'NeuralNetwork')",1.8334419024768488e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('MedAE', 'XGBoost+Huber')",2.4418919438005517e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('MedAE', 'XGBoost+Huber')",2.441998898829306e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('MedAE', 'XGBoost+Huber')",2.442807492525685e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('MedAE', 'XGBoost+Huber')",2.443179417143373e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('MedAE', 'XGBoost+Huber')",2.4437675055207054e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('MAE', 'XGBoost+Huber')",3.033964863872171e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'XGBoost+Huber')","('MedAE', 'XGBoost+Huber')",4.3292790596944474e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'SVR')","('MedAE', 'DecisionTree')",5.798528003303866e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'NeuralNetwork')","('RMSE', 'NeuralNetwork')",7.078398629696924e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('MedAE', 'XGBoost+Huber')",7.217158544404903e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'SVR')","('MedAE', 'SVR')",7.928524630824704e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('RMSE', 'RandomForest+PseudoHuber')",9.92609954487503e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('RMSE', 'RandomForest+PseudoHuber')",9.927127490450448e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('RMSE', 'RandomForest+PseudoHuber')",9.92716862056803e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('RMSE', 'RandomForest+PseudoHuber')",9.92732341116361e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('RMSE', 'RandomForest+PseudoHuber')",9.928269912104612e-07,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('RMSE', 'RandomForest+PseudoHuber')",1.0206231535214719e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'SVR')","('MedAE', 'RandomForest+PseudoHuber')",1.0963544915459544e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('MAE', 'NeuralNetwork')",1.2797882523509526e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('MAE', 'NeuralNetwork')",1.2799204596316528e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('MAE', 'NeuralNetwork')",1.279925086978345e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('MAE', 'NeuralNetwork')",1.2799616693471433e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('MAE', 'NeuralNetwork')",1.2800301049985303e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'LinearRegression')","('MedAE', 'XGBoost+Huber')",1.4396022240375229e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'SVR')","('MedAE', 'XGBoost+Huber')",1.4598522838398495e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('RMSE', 'NeuralNetwork')",1.4677356621389622e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('RMSE', 'NeuralNetwork')",1.4677948732224564e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('RMSE', 'NeuralNetwork')",1.467818638673669e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('RMSE', 'NeuralNetwork')",1.467841301149353e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('RMSE', 'NeuralNetwork')",1.467923840796913e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('MAE', 'NeuralNetwork')",1.5651111978420906e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('RMSE', 'NeuralNetwork')",1.6308437855526928e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'DecisionTree')","('MedAE', 'XGBoost+Huber')",1.64377233126045e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('RMSE', 'DecisionTree')",2.1826233057887014e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('RMSE', 'DecisionTree')",2.1826671576108967e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('RMSE', 'DecisionTree')",2.1827045403833237e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('RMSE', 'DecisionTree')",2.182765758992104e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('RMSE', 'DecisionTree')",2.1827758038078497e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('RMSE', 'SVR')",2.2080162935187204e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('RMSE', 'SVR')",2.208074126380448e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('RMSE', 'SVR')",2.2081172281914713e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('RMSE', 'SVR')",2.2081421234831668e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('RMSE', 'SVR')",2.2082502744907115e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('RMSE', 'SVR')",2.2630908471606456e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('RMSE', 'DecisionTree')",2.514142181388059e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('MAE', 'LinearRegression')",2.6736978103634227e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('MAE', 'LinearRegression')",2.6737999977694642e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('MAE', 'LinearRegression')",2.6739211093536076e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('MAE', 'LinearRegression')",2.673953211553689e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('MAE', 'LinearRegression')",2.6740454130405136e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'DecisionTree')","('MedAE', 'RandomForest+PseudoHuber')",2.8254492636559505e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'XGBoost+Huber')","('RMSE', 'NeuralNetwork')",2.90495503339358e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('RMSE', 'XGBoost+Huber')",2.9953774766270773e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('RMSE', 'XGBoost+Huber')",2.995495484518783e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('RMSE', 'XGBoost+Huber')",2.9955133250005653e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('RMSE', 'XGBoost+Huber')",2.9955829066134164e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('RMSE', 'XGBoost+Huber')",2.9956594699602006e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('RMSE', 'XGBoost+Huber')",3.2240439770443957e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('MAE', 'LinearRegression')",3.3967998953017355e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'NeuralNetwork')","('RMSE', 'NeuralNetwork')",3.5751515715253166e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'NeuralNetwork')","('RMSE', 'DecisionTree')",4.046338770299485e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'DecisionTree')","('RMSE', 'NeuralNetwork')",4.273553340796932e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'XGBoost+Huber')","('RMSE', 'NeuralNetwork')",4.3467455062094085e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'NeuralNetwork')","('MedAE', 'XGBoost+Huber')",4.643155858009801e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'DecisionTree')","('MAE', 'SVR')",5.1860120018682645e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'DecisionTree')","('RMSE', 'RandomForest+PseudoHuber')",5.678950534900472e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'XGBoost+Huber')","('RMSE', 'RandomForest+PseudoHuber')",6.172742931791729e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('RMSE', 'SVR')","('RMSE', 'XGBoost+Huber')",6.178145195516074e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'NeuralNetwork')","('RMSE', 'SVR')",6.24248537718673e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'RandomForest+PseudoHuber')","('MedAE', 'DecisionTree')",6.404495734041706e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'LinearRegression')","('MedAE', 'XGBoost+Huber')",6.771360198639913e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'DecisionTree')","('RMSE', 'SVR')",6.840659451487258e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'XGBoost+Huber')","('RMSE', 'SVR')",6.842471524415412e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'XGBoost+Huber')","('RMSE', 'DecisionTree')",6.853305816648775e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'RandomForest+PseudoHuber')","('RMSE', 'NeuralNetwork')",6.957177135180125e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'RandomForest+PseudoHuber')","('RMSE', 'RandomForest+PseudoHuber')",7.0110124663458296e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'SVR')","('RMSE', 'NeuralNetwork')",7.77274067527614e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'SVR')","('RMSE', 'RandomForest+PseudoHuber')",8.05677870593486e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'RandomForest+PseudoHuber')","('MedAE', 'NeuralNetwork')",8.291098941177843e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'SVR')","('MedAE', 'NeuralNetwork')",8.291417491946561e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'DecisionTree')","('MedAE', 'NeuralNetwork')",8.292004588612713e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'NeuralNetwork')","('MedAE', 'NeuralNetwork')",8.292071294241467e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'XGBoost+Huber')","('MedAE', 'NeuralNetwork')",8.292124310442073e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'XGBoost+Huber')","('MedAE', 'DecisionTree')",8.366410304555969e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'NeuralNetwork')","('RMSE', 'XGBoost+Huber')",8.854726556893588e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'RandomForest+PseudoHuber')","('RMSE', 'SVR')",8.888475314970333e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'NeuralNetwork')","('MedAE', 'DecisionTree')",9.251648924315957e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'DecisionTree')","('RMSE', 'NeuralNetwork')",9.33590961154117e-06,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'DecisionTree')","('RMSE', 'DecisionTree')",1.0317086559614412e-05,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('R2', 'LinearRegression')","('MedAE', 'NeuralNetwork')",1.0526535851705888e-05,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MAE', 'SVR')","('MAE', 'XGBoost+Huber')",1.1162023383295279e-05,0.0625,5
"['R2', 'MAE', 'MedAE', 'MSE', 'RMSE']","('MedAE', 'SVR')","('RMSE', 'SVR')",1.148607293717014e-05,0.0625,5
